ICAO;CALLSIGN;PRONOUNCIATION;COMMENTS
AAL;AMERICAN;AMERICAN;
AFR;AIRFRANCE;AIRFRANCE;
ANA;ALL NIPPON;ALL NIPPON;
BAW;SPEEDBIRD;SPEEDBIRD;
BAW;SPEEDBIRD;SPIRBROUGH;speech-to-text common error translation
BAW;SPEEDBIRD;BAY BIRD;speech-to-text common error translation
CPA;CATHAY;CATHAY;
DAL;DELTA;DELTA;
DLH;LUFTHANSA;LUFTHANSA;
EZY;EASY;EASY;
FIN;FINNAIR;FINNAIR;
FIN;FINNAIR;FINAIR;speech-to-text common error translation
FIN;FINNAIR;IN AIR;speech-to-text common error translation
IBE;IBERIA;IBERIA;
JAL;JAPANAIR;JAPANAIR;
KAL;KOREANAIR;KOREANAIR;
KLM;KLM;KLM;
LOT;POLLOT;POLLOT;Both POLLOT and LOT used
LOT;LOT;LOT;Both POLLOT and LOT used
MAS;MALAYSIA;MALAYSIA;
QFA;QANTAS;QANTAS;
QTR;QATARI;QATARI;
RYR;RYANAIR;RYANAIR;
SAS;SCANDINAVIAN;SCANDINAVIAN;
SAS;SCANDINAVIAN;FANDENAVE IN;speech-to-text common error translation
SIA;SINGAPORE;SINGAPORE;
SWA;SOUTHWEST;SOUTHWEST;
THA;THAI;THAI;
UAL;UNITED;UNITED;
VIR;VIRGIN;VIRGIN;
TAP;AIR PORTUGAL;AIR PORTUGAL;
AUA;AUSTRIAN;AUSTRIAN;
SWR;SWISS;SWISS;
THY;TURKISH;TURKISH;
AZA;ALITALIA;ALITALIA;
EIN;SHAMROCK;SHAMROCK;
BLADE;BLADE;BLADE;Fighter aircraft
BEAR;BEAR;BEAR;Fighter aircraft
MOOSE;MOOSE;MOOSE;Fighter aircraft
EAGLE;EAGLE;EAGLE;Fighter aircraft
FALCON;FALCON;FALCON;Fighter aircraft
HAWK;HAWK;HAWK;Fighter aircraft
VIPER;VIPER;VIPER;Fighter aircraft
RAVEN;RAVEN;RAVEN;Fighter aircraft
COBRA;COBRA;COBRA;Fighter aircraft
HUNTER;HUNTER;HUNTER;Fighter aircraft